hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
TUNJITA,2030_Q3,5,9.706
URRA,2030_Q3,84,164.0314
ALTOANCHICAY,2030_Q4,63,123.1495
AMOYA,2030_Q4,14,27.752
BAJOANCHICAY,2030_Q4,13,25.6706
BETANIA,2030_Q4,96,187.326
C_LLERAS_R,2030_Q4,14,27.0582
CALDERAS,2030_Q4,4,6.90331
CALIMA,2030_Q4,23,45.7908
CHIVOR,2030_Q4,177,346.9
CUCUANA,2030_Q4,11,20.814
DARIO_VALENC,2030_Q4,27,52.035
EL_QUIMBO,2030_Q4,70,137.3724
ESMERALDA,2030_Q4,5,10.407
EXP_HID_1,2030_Q4,62,122.029013
GUADALUPE_3,2030_Q4,48,93.663
GUADALUPE_4,2030_Q4,36,70.0738
GUATAPE,2030_Q4,99,194.264
GUAVIO,2030_Q4,221,433.625
INSULA,2030_Q4,3,6.5911
JAGUAS,2030_Q4,30,58.973
LA_GUACA,2030_Q4,57,112.3956
LA_TASAJERA,2030_Q4,54,106.1514
LAGUN-LIMON,2030_Q4,3,6.2442
MIEL_I,2030_Q4,70,137.3724
MIEL_II,2030_Q4,21,40.5873
PAJARITO,2030_Q4,1,1.69981
PARAISO,2030_Q4,49,95.7444
PESCADERO,2030_Q4,53,104.07
PLAYAS,2030_Q4,37,71.8083
PORCE_II,2030_Q4,72,140.4945
PORCE_III,2030_Q4,124,242.83
PRADO,2030_Q4,8,15.9574
PRADO4,2030_Q4,1,1.7345
RIOGRANDE_1,2030_Q4,3,6.5911
SALTO_II,2030_Q4,6,12.1415
SALVAJINA,2030_Q4,50,98.8665
SAN_CARLOS,2030_Q4,219,430.156
SAN_FRANCISCO,2030_Q4,24,46.8315
SNMIGUEL,2030_Q4,8,15.2636
SOGAMOSO,2030_Q4,145,284.1111
TRONERAS,2030_Q4,7,13.876
TUNJITA,2030_Q4,4,6.938
URRA,2030_Q4,60,117.2522
ALTOANCHICAY,2035_Q1,85,167.205
AMOYA,2035_Q1,19,37.68
BAJOANCHICAY,2035_Q1,18,34.854
BETANIA,2035_Q1,130,254.34
C_LLERAS_R,2035_Q1,19,36.738
CALDERAS,2035_Q1,5,9.3729
CALIMA,2035_Q1,32,62.172
CHIVOR,2035_Q1,240,471
CUCUANA,2035_Q1,14,28.26
DARIO_VALENC,2035_Q1,36,70.65
EL_QUIMBO,2035_Q1,95,186.516
ESMERALDA,2035_Q1,7,14.13
EXP_HID_1,2035_Q1,84,165.68367
GUADALUPE_3,2035_Q1,65,127.17
GUADALUPE_4,2035_Q1,49,95.142
GUATAPE,2035_Q1,135,263.76
GUAVIO,2035_Q1,300,588.75
INSULA,2035_Q1,5,8.949
JAGUAS,2035_Q1,41,80.07
LA_GUACA,2035_Q1,78,152.604
LA_TASAJERA,2035_Q1,74,144.126
LAGUN-LIMON,2035_Q1,4,8.478
MIEL_I,2035_Q1,95,186.516
MIEL_II,2035_Q1,28,55.107
PAJARITO,2035_Q1,1,2.3079
PARAISO,2035_Q1,66,129.996
PESCADERO,2035_Q1,72,141.3
PLAYAS,2035_Q1,50,97.497
PORCE_II,2035_Q1,97,190.755
PORCE_III,2035_Q1,168,329.7
PRADO,2035_Q1,11,21.666
PRADO4,2035_Q1,1,2.355
RIOGRANDE_1,2035_Q1,5,8.949
SALTO_II,2035_Q1,8,16.485
SALVAJINA,2035_Q1,68,134.235
SAN_CARLOS,2035_Q1,298,584.04
SAN_FRANCISCO,2035_Q1,32,63.585
SNMIGUEL,2035_Q1,11,20.724
SOGAMOSO,2035_Q1,197,385.749
TRONERAS,2035_Q1,10,18.84
TUNJITA,2035_Q1,5,9.42
URRA,2035_Q1,81,159.198
ALTOANCHICAY,2035_Q2,85,167.56
