GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,type
TERMOYOPALG5,2021,3076000,143.2,Thermal
TOMINE,1980,3083000,43.78,Hidro
TRONERAS,1965,1414000,811,Hidro
TSIERRAGAS,1998,3076000,143.2,Thermal
TUNEL CHUZA,1980,3083000,43.78,Hidro
TUNJITA,1980,1418000,807,Hidro
URRA,2000,3083000,43.78,Hidro
ZIPAEMG2,1964,1420000,805,Thermal
ZIPAEMG3,1976,1421000,804,Thermal
ZIPAEMG4,1981,1422000,803,Thermal
ZIPAEMG5,1985,1423000,802,Thermal
