Duration(%),HTC,CAUCA,NAR-PUT,VALLE,CQR,ANT-CHO,BOLIVAR,ATLANTICO,COR-SUC,GCM,NSANT,BOY-CAS,SANT-ARA,MET-GUAV,BOG-CUN
0.0416,0.637571157495256,0.637571157495256,0.637571157495256,0.637571157495256,0.637571157495256,0.637571157495256,0.637571157495256,0.637571157495256,0.637571157495256,0.637571157495256,0.637571157495256,0.637571157495256,0.637571157495256,0.637571157495256,0.637571157495256
0.0416,0.611005692599621,0.611005692599621,0.611005692599621,0.611005692599621,0.611005692599621,0.611005692599621,0.611005692599621,0.611005692599621,0.611005692599621,0.611005692599621,0.611005692599621,0.611005692599621,0.611005692599621,0.611005692599621,0.611005692599621
0.0416,0.592030360531309,0.592030360531309,0.592030360531309,0.592030360531309,0.592030360531309,0.592030360531309,0.592030360531309,0.592030360531309,0.592030360531309,0.592030360531309,0.592030360531309,0.592030360531309,0.592030360531309,0.592030360531309,0.592030360531309
0.0416,0.629981024667932,0.629981024667932,0.629981024667932,0.629981024667932,0.629981024667932,0.629981024667932,0.629981024667932,0.629981024667932,0.629981024667932,0.629981024667932,0.629981024667932,0.629981024667932,0.629981024667932,0.629981024667932,0.629981024667932
0.0416,0.657931688804554,0.657931688804554,0.657931688804554,0.657931688804554,0.657931688804554,0.657931688804554,0.657931688804554,0.657931688804554,0.657931688804554,0.657931688804554,0.657931688804554,0.657931688804554,0.657931688804554,0.657931688804554,0.657931688804554
0.0416,0.682907020872865,0.682907020872865,0.682907020872865,0.682907020872865,0.682907020872865,0.682907020872865,0.682907020872865,0.682907020872865,0.682907020872865,0.682907020872865,0.682907020872865,0.682907020872865,0.682907020872865,0.682907020872865,0.682907020872865
0.0416,0.705882352941176,0.705882352941176,0.705882352941176,0.705882352941176,0.705882352941176,0.705882352941176,0.705882352941176,0.705882352941176,0.705882352941176,0.705882352941176,0.705882352941176,0.705882352941176,0.705882352941176,0.705882352941176,0.705882352941176
0.0416,0.778783681214421,0.778783681214421,0.778783681214421,0.778783681214421,0.778783681214421,0.778783681214421,0.778783681214421,0.778783681214421,0.778783681214421,0.778783681214421,0.778783681214421,0.778783681214421,0.778783681214421,0.778783681214421,0.778783681214421
0.0416,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355
0.0416,0.852685009487666,0.852685009487666,0.852685009487666,0.852685009487666,0.852685009487666,0.852685009487666,0.852685009487666,0.852685009487666,0.852685009487666,0.852685009487666,0.852685009487666,0.852685009487666,0.852685009487666,0.852685009487666,0.852685009487666
0.0416,0.880148007590133,0.880148007590133,0.880148007590133,0.880148007590133,0.880148007590133,0.880148007590133,0.880148007590133,0.880148007590133,0.880148007590133,0.880148007590133,0.880148007590133,0.880148007590133,0.880148007590133,0.880148007590133,0.880148007590133
0.0416,0.867172675521822,0.867172675521822,0.867172675521822,0.867172675521822,0.867172675521822,0.867172675521822,0.867172675521822,0.867172675521822,0.867172675521822,0.867172675521822,0.867172675521822,0.867172675521822,0.867172675521822,0.867172675521822,0.867172675521822
0.0416,0.847685009487666,0.847685009487666,0.847685009487666,0.847685009487666,0.847685009487666,0.847685009487666,0.847685009487666,0.847685009487666,0.847685009487666,0.847685009487666,0.847685009487666,0.847685009487666,0.847685009487666,0.847685009487666,0.847685009487666
0.0416,0.857172675521822,0.857172675521822,0.857172675521822,0.857172675521822,0.857172675521822,0.857172675521822,0.857172675521822,0.857172675521822,0.857172675521822,0.857172675521822,0.857172675521822,0.857172675521822,0.857172675521822,0.857172675521822,0.857172675521822
0.0416,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666
0.0416,0.843889943074004,0.843889943074004,0.843889943074004,0.843889943074004,0.843889943074004,0.843889943074004,0.843889943074004,0.843889943074004,0.843889943074004,0.843889943074004,0.843889943074004,0.843889943074004,0.843889943074004,0.843889943074004,0.843889943074004
0.0416,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666,0.857685009487666
0.0416,0.915123339658444,0.915123339658444,0.915123339658444,0.915123339658444,0.915123339658444,0.915123339658444,0.915123339658444,0.915123339658444,0.915123339658444,0.915123339658444,0.915123339658444,0.915123339658444,0.915123339658444,0.915123339658444,0.915123339658444
0.0416,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
0.0416,0.962049335863378,0.962049335863378,0.962049335863378,0.962049335863378,0.962049335863378,0.962049335863378,0.962049335863378,0.962049335863378,0.962049335863378,0.962049335863378,0.962049335863378,0.962049335863378,0.962049335863378,0.962049335863378,0.962049335863378
0.0416,0.876148007590133,0.876148007590133,0.876148007590133,0.876148007590133,0.876148007590133,0.876148007590133,0.876148007590133,0.876148007590133,0.876148007590133,0.876148007590133,0.876148007590133,0.876148007590133,0.876148007590133,0.876148007590133,0.876148007590133
0.0416,0.790759013282733,0.790759013282733,0.790759013282733,0.790759013282733,0.790759013282733,0.790759013282733,0.790759013282733,0.790759013282733,0.790759013282733,0.790759013282733,0.790759013282733,0.790759013282733,0.790759013282733,0.790759013282733,0.790759013282733
