timepoint_id,timestamp,timeseries
20_Q1_0,2020050100,2020_Q1
20_Q1_1,2020050101,2020_Q1
20_Q1_2,2020050102,2020_Q1
20_Q1_3,2020050103,2020_Q1
20_Q1_4,2020050104,2020_Q1
20_Q1_5,2020050105,2020_Q1
20_Q1_6,2020050106,2020_Q1
20_Q1_7,2020050107,2020_Q1
20_Q1_8,2020050108,2020_Q1
20_Q1_9,2020050109,2020_Q1
20_Q1_10,2020050110,2020_Q1
20_Q1_11,2020050111,2020_Q1
20_Q1_12,2020050112,2020_Q1
20_Q1_13,2020050113,2020_Q1
20_Q1_14,2020050114,2020_Q1
20_Q1_15,2020050115,2020_Q1
20_Q1_16,2020050116,2020_Q1
20_Q1_17,2020050117,2020_Q1
20_Q1_18,2020050118,2020_Q1
20_Q1_19,2020050119,2020_Q1
20_Q1_20,2020050120,2020_Q1
20_Q1_21,2020050121,2020_Q1
20_Q1_22,2020050122,2020_Q1
20_Q1_23,2020050123,2020_Q1
20_Q2_0,2020050100,2020_Q2
20_Q2_1,2020050101,2020_Q2
20_Q2_2,2020050102,2020_Q2
20_Q2_3,2020050103,2020_Q2
20_Q2_4,2020050104,2020_Q2
20_Q2_5,2020050105,2020_Q2
20_Q2_6,2020050106,2020_Q2
20_Q2_7,2020050107,2020_Q2
20_Q2_8,2020050108,2020_Q2
20_Q2_9,2020050109,2020_Q2
20_Q2_10,2020050110,2020_Q2
20_Q2_11,2020050111,2020_Q2
20_Q2_12,2020050112,2020_Q2
20_Q2_13,2020050113,2020_Q2
20_Q2_14,2020050114,2020_Q2
20_Q2_15,2020050115,2020_Q2
20_Q2_16,2020050116,2020_Q2
20_Q2_17,2020050117,2020_Q2
20_Q2_18,2020050118,2020_Q2
20_Q2_19,2020050119,2020_Q2
20_Q2_20,2020050120,2020_Q2
20_Q2_21,2020050121,2020_Q2
20_Q2_22,2020050122,2020_Q2
20_Q2_23,2020050123,2020_Q2
20_Q3_0,2020050100,2020_Q3
20_Q3_1,2020050101,2020_Q3
20_Q3_2,2020050102,2020_Q3
20_Q3_3,2020050103,2020_Q3
20_Q3_4,2020050104,2020_Q3
20_Q3_5,2020050105,2020_Q3
20_Q3_6,2020050106,2020_Q3
20_Q3_7,2020050107,2020_Q3
20_Q3_8,2020050108,2020_Q3
20_Q3_9,2020050109,2020_Q3
20_Q3_10,2020050110,2020_Q3
20_Q3_11,2020050111,2020_Q3
20_Q3_12,2020050112,2020_Q3
20_Q3_13,2020050113,2020_Q3
20_Q3_14,2020050114,2020_Q3
20_Q3_15,2020050115,2020_Q3
20_Q3_16,2020050116,2020_Q3
20_Q3_17,2020050117,2020_Q3
20_Q3_18,2020050118,2020_Q3
20_Q3_19,2020050119,2020_Q3
20_Q3_20,2020050120,2020_Q3
20_Q3_21,2020050121,2020_Q3
20_Q3_22,2020050122,2020_Q3
20_Q3_23,2020050123,2020_Q3
20_Q4_0,2020050100,2020_Q4
20_Q4_1,2020050101,2020_Q4
20_Q4_2,2020050102,2020_Q4
