GENERATION_PROJECT,INVESTMENT_PERIOD,limit_cap_mw
HD-GCM,2020,0
HD-NSANT,2020,0
HD-BOY-CAS,2020,0
HD-SANT-ARA,2020,0
HD-MET-GUAV,2020,0
HD-BOG-CUN,2020,0
HD-HTC,2025,100
HD-CAUCA,2025,0
HD-NAR-PUT,2025,0
HD-VALLE,2025,100
HD-CQR,2025,100
HD-ANT-CHO,2025,100
HD-BOLIVAR,2025,0
HD-ATLANTICO,2025,0
HD-COR-SUC,2025,0
HD-GCM,2025,0
HD-NSANT,2025,50
HD-BOY-CAS,2025,0
HD-SANT-ARA,2025,20
HD-MET-GUAV,2025,0
HD-BOG-CUN,2025,0
HD-HTC,2030,120
HD-CAUCA,2030,0
HD-NAR-PUT,2030,0
HD-VALLE,2030,120
HD-CQR,2030,120
HD-ANT-CHO,2030,120
HD-BOLIVAR,2030,0
HD-ATLANTICO,2030,0
HD-COR-SUC,2030,0
HD-GCM,2030,0
HD-NSANT,2030,60
HD-BOY-CAS,2030,0
HD-SANT-ARA,2030,30
HD-MET-GUAV,2030,0
HD-BOG-CUN,2030,0
HD-HTC,2035,140
HD-CAUCA,2035,0
HD-NAR-PUT,2035,0
HD-VALLE,2035,140
HD-CQR,2035,140
HD-ANT-CHO,2035,140
HD-BOLIVAR,2035,0
HD-ATLANTICO,2035,0
HD-COR-SUC,2035,0
HD-GCM,2035,0
HD-NSANT,2035,70
HD-BOY-CAS,2035,0
HD-SANT-ARA,2035,40
HD-MET-GUAV,2035,0
HD-BOG-CUN,2035,0
HD-HTC,2040,150
HD-CAUCA,2040,0
HD-NAR-PUT,2040,0
HD-VALLE,2040,150
HD-CQR,2040,150
HD-ANT-CHO,2040,150
HD-BOLIVAR,2040,0
HD-ATLANTICO,2040,0
HD-COR-SUC,2040,0
HD-GCM,2040,0
HD-NSANT,2040,80
HD-BOY-CAS,2040,0
HD-SANT-ARA,2040,50
HD-MET-GUAV,2040,0
HD-BOG-CUN,2040,0
HD-HTC,2045,160
HD-CAUCA,2045,0
HD-NAR-PUT,2045,0
HD-VALLE,2045,160
HD-CQR,2045,160
HD-ANT-CHO,2045,160
HD-BOLIVAR,2045,0
HD-ATLANTICO,2045,0
HD-COR-SUC,2045,0
HD-GCM,2045,0
HD-NSANT,2045,90
HD-BOY-CAS,2045,0
HD-SANT-ARA,2045,60
HD-MET-GUAV,2045,0
HD-BOG-CUN,2045,0
