fuel,load_zone,fuel_cost,period
flores_gas,ATLANTICO,9.572591134,2030
flores_gas,ATLANTICO,10.47259113,2035
flores_gas,ATLANTICO,11.37259113,2040
flores_gas,ATLANTICO,12.27259113,2045
flores_fo2,ATLANTICO,18.17073789,2020
flores_fo2,ATLANTICO,17.72521917,2025
flores_fo2,ATLANTICO,18.74197181,2030
flores_fo2,ATLANTICO,19.64197181,2035
flores_fo2,ATLANTICO,20.54197181,2040
flores_fo2,ATLANTICO,21.44197181,2045
NONE,ATLANTICO,0.23,2020
NONE,ATLANTICO,0.23,2025
NONE,ATLANTICO,0.23,2030
NONE,ATLANTICO,0.23,2035
NONE,ATLANTICO,0.23,2040
NONE,ATLANTICO,0.23,2045
gecelca_car,COR-SUC,3.172881356,2020
gecelca_car,COR-SUC,3.579016393,2025
gecelca_car,COR-SUC,3.781428571,2030
gecelca_car,COR-SUC,4.011428571,2035
gecelca_car,COR-SUC,4.241428571,2040
gecelca_car,COR-SUC,4.471428571,2045
guajira_gas,GCM,6.061186441,2020
guajira_gas,GCM,8.684590164,2025
guajira_gas,GCM,9.888571429,2030
guajira_gas,GCM,10.90857143,2035
guajira_gas,GCM,11.92857143,2040
guajira_gas,GCM,12.94857143,2045
guajira_car,GCM,1.721016949,2020
guajira_car,GCM,1.909508197,2025
guajira_car,GCM,2.014761905,2030
guajira_car,GCM,2.134761905,2035
guajira_car,GCM,2.254761905,2040
guajira_car,GCM,2.374761905,2045
flores_fo2,GCM,18.17073789,2020
flores_fo2,GCM,17.72521917,2025
flores_fo2,GCM,18.74197181,2030
flores_fo2,GCM,18.94197181,2035
flores_fo2,GCM,19.14197181,2040
flores_fo2,GCM,19.34197181,2045
NONE,GCM,0.23,2020
NONE,GCM,0.23,2025
NONE,GCM,0.23,2030
NONE,GCM,0.23,2035
NONE,GCM,0.23,2040
NONE,GCM,0.23,2045
tasajero_car,NSANT,1.299855348,2020
tasajero_car,NSANT,1.444929827,2025
tasajero_car,NSANT,1.527829174,2030
tasajero_car,NSANT,1.627829174,2035
tasajero_car,NSANT,1.727829174,2040
tasajero_car,NSANT,1.827829174,2045
barranquilla_gas,BOY-CAS,5.912366753,2020
barranquilla_gas,BOY-CAS,8.368309657,2025
barranquilla_gas,BOY-CAS,9.572650992,2030
barranquilla_gas,BOY-CAS,10.47265099,2035
barranquilla_gas,BOY-CAS,11.37265099,2040
barranquilla_gas,BOY-CAS,12.27265099,2045
paipa_car,BOY-CAS,1.31,2025
paipa_car,BOY-CAS,1.453770492,2030
paipa_car,BOY-CAS,1.533333333,2035
paipa_car,BOY-CAS,1.643333333,2040
paipa_car,BOY-CAS,1.753333333,2045
tasajero_car,BOY-CAS,1.863333333,2020
termoyopal_gas,BOY-CAS,3.979525424,2020
termoyopal_gas,BOY-CAS,6.391016393,2025
termoyopal_gas,BOY-CAS,8.351095238,2030
termoyopal_gas,BOY-CAS,10.15109524,2035
termoyopal_gas,BOY-CAS,11.95109524,2040
termoyopal_gas,BOY-CAS,13.75109524,2045
merielectrica_gas,SANT-ARA,7.395250867,2020
merielectrica_gas,SANT-ARA,10.44448586,2025
merielectrica_gas,SANT-ARA,11.63990466,2030
merielectrica_gas,SANT-ARA,12.73990466,2035
merielectrica_gas,SANT-ARA,13.83990466,2040
merielectrica_gas,SANT-ARA,14.93990466,2045
NONE,SANT-ARA,0.23,2020
NONE,SANT-ARA,0.23,2025
NONE,SANT-ARA,0.23,2030
NONE,SANT-ARA,0.23,2035
NONE,SANT-ARA,0.23,2040
NONE,SANT-ARA,0.23,2045
termocentro_gas,SANT-ARA,8.126558633,2020
termocentro_gas,SANT-ARA,10.90651605,2025
termocentro_gas,SANT-ARA,12.17946161,2030
termocentro_gas,SANT-ARA,13.27946161,2035
termocentro_gas,SANT-ARA,14.37946161,2040
termocentro_gas,SANT-ARA,15.47946161,2045
termocentro_ja1,SANT-ARA,21.68740962,2020
termocentro_ja1,SANT-ARA,21.9836488,2025
termocentro_ja1,SANT-ARA,25.19287805,2030
termocentro_ja1,SANT-ARA,25.69287805,2035
termocentro_ja1,SANT-ARA,26.19287805,2040
termocentro_ja1,SANT-ARA,26.69287805,2045
NONE,MET-GUAV,0.23,2020
NONE,MET-GUAV,0.23,2025
NONE,MET-GUAV,0.23,2030
NONE,MET-GUAV,0.23,2035
NONE,MET-GUAV,0.23,2040
NONE,MET-GUAV,0.23,2045
termoyopal_gas,MET-GUAV,3.979525424,2020
termoyopal_gas,MET-GUAV,6.391016393,2025
termoyopal_gas,MET-GUAV,8.351095238,2030
termoyopal_gas,MET-GUAV,10.05109524,2035
termoyopal_gas,MET-GUAV,11.75109524,2040
termoyopal_gas,MET-GUAV,13.45109524,2045
zipa_car,BOG-CUN,1.613208586,2020
zipa_car,BOG-CUN,1.79326639,2025
zipa_car,BOG-CUN,1.895971806,2030
zipa_car,BOG-CUN,1.905971806,2035
zipa_car,BOG-CUN,1.915971806,2040
zipa_car,BOG-CUN,1.925971806,2045
NONE,BOG-CUN,0.23,2020
NONE,BOG-CUN,0.23,2025
NONE,BOG-CUN,0.23,2030
NONE,BOG-CUN,0.23,2035
NONE,BOG-CUN,0.23,2040
NONE,BOG-CUN,0.23,2045
