PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,2151011482.528333,634094257.7424034,1.5819258645859124,400836898.83178246
2025,1357647402.0911965,510792579.9268677,1.183589941811212,431562116.13729775
2030,833786809.4937909,400367763.99249643,0.8653305229621007,462676114.3499286
2035,737083655.1877371,451717960.2966036,0.9255296596463419,488064272.80700165
2040,458428232.124463,358565440.35292286,0.7028114478316974,510187250.73298573
2045,486485764.5446744,485639166.2659881,0.9159832944378152,530183431.5264986
