load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,TXPowerNet,zone_demand_mw
NSANT,25_Q1_15,548.662,0,-260.642,288.02
NSANT,25_Q1_16,508.055,0,-215.327,292.728
NSANT,25_Q1_17,454.219,0,-141.887,312.332
NSANT,25_Q1_18,440.551,0,-102.664,337.887
NSANT,25_Q1_19,439.578,0,-111.23,328.348
NSANT,25_Q1_20,434.679,0,-135.65,299.029
NSANT,25_Q1_21,430.585,0,-160.699,269.886
NSANT,25_Q1_22,429.147,0,-191.642,237.505
NSANT,25_Q1_23,426.866,0,-205.552,221.314
NSANT,25_Q2_0,422.683,0,-199.674,223.009
NSANT,25_Q2_1,418.448,0,-204.731,213.717
NSANT,25_Q2_2,411.631,0,-204.551,207.08
NSANT,25_Q2_3,409.114,0,-188.759,220.355
NSANT,25_Q2_4,403.834,0,-173.703,230.131
NSANT,25_Q2_5,407.882,0,-169.015,238.867
NSANT,25_Q2_6,433.582,0,-186.678,246.903
NSANT,25_Q2_7,500.807,0,-228.405,272.403
NSANT,25_Q2_8,558.166,0,-264.802,293.364
NSANT,25_Q2_9,588.473,0,-290.221,298.252
NSANT,25_Q2_10,600.937,0,-293.079,307.858
NSANT,25_Q2_11,606.985,0,-303.666,303.319
NSANT,25_Q2_12,607.402,0,-310.899,296.503
NSANT,25_Q2_13,600.452,0,-300.631,299.822
NSANT,25_Q2_14,583.272,0,-283.271,300.001
NSANT,25_Q2_15,554.794,0,-259.618,295.176
NSANT,25_Q2_16,515.741,0,-215.74,300.001
NSANT,25_Q2_17,458.577,0,-138.485,320.092
NSANT,25_Q2_18,444.742,0,-98.4601,346.282
NSANT,25_Q2_19,441.866,0,-105.361,336.505
NSANT,25_Q2_20,437.194,0,-130.735,306.459
NSANT,25_Q2_21,431.479,0,-154.888,276.591
NSANT,25_Q2_22,427.136,0,-183.731,243.406
NSANT,25_Q2_23,426.98,0,-200.167,226.813
NSANT,25_Q3_0,423.848,0,-202.345,221.503
NSANT,25_Q3_1,421.847,0,-209.574,212.273
NSANT,25_Q3_2,419.562,0,-213.881,205.681
NSANT,25_Q3_3,412.935,0,-194.07,218.866
NSANT,25_Q3_4,413.777,0,-185.201,228.576
NSANT,25_Q3_5,414.123,0,-176.87,237.253
NSANT,25_Q3_6,434.129,0,-188.894,245.235
NSANT,25_Q3_7,498.276,0,-227.714,270.562
NSANT,25_Q3_8,551.75,0,-260.368,291.382
NSANT,25_Q3_9,578.209,0,-281.972,296.237
NSANT,25_Q3_10,593.446,0,-287.668,305.778
NSANT,25_Q3_11,599.074,0,-297.804,301.27
NSANT,25_Q3_12,595.766,0,-301.266,294.5
NSANT,25_Q3_13,586.65,0,-288.854,297.796
NSANT,25_Q3_14,576.947,0,-278.973,297.974
NSANT,25_Q3_15,553.048,0,-259.867,293.181
NSANT,25_Q3_16,514.359,0,-216.385,297.974
NSANT,25_Q3_17,459.017,0,-141.088,317.929
NSANT,25_Q3_18,445.521,0,-101.578,343.942
NSANT,25_Q3_19,443.528,0,-109.296,334.232
NSANT,25_Q3_20,441.534,0,-137.146,304.388
NSANT,25_Q3_21,434.661,0,-159.938,274.723
NSANT,25_Q3_22,426.537,0,-184.776,241.761
NSANT,25_Q3_23,423.632,0,-198.352,225.28
NSANT,25_Q4_0,420.162,0,-203.077,217.085
NSANT,25_Q4_1,412.875,0,-204.836,208.04
NSANT,25_Q4_2,411.493,0,-209.914,201.579
NSANT,25_Q4_3,411.338,0,-196.837,214.501
NSANT,25_Q4_4,411.809,0,-187.792,224.017
NSANT,25_Q4_5,414.64,0,-182.119,232.521
NSANT,25_Q4_6,430.781,0,-190.437,240.344
NSANT,25_Q4_7,489.605,0,-224.439,265.166
NSANT,25_Q4_8,546.119,0,-260.549,285.57
NSANT,25_Q4_9,576.512,0,-286.183,290.329
NSANT,25_Q4_10,589.687,0,-290.008,299.679
NSANT,25_Q4_11,596.156,0,-300.895,295.261
NSANT,25_Q4_12,599.677,0,-311.051,288.626
NSANT,25_Q4_13,590.003,0,-298.147,291.857
NSANT,25_Q4_14,574.757,0,-282.726,292.031
NSANT,25_Q4_15,542.271,0,-254.937,287.334
NSANT,25_Q4_16,498.974,0,-206.943,292.031
NSANT,25_Q4_17,449.302,0,-137.714,311.588
NSANT,25_Q4_18,437.852,0,-100.769,337.083
NSANT,25_Q4_19,434.218,0,-106.652,327.566
NSANT,25_Q4_20,431.61,0,-133.292,298.317
NSANT,25_Q4_21,428.072,0,-158.828,269.244
NSANT,25_Q4_22,422.652,0,-185.713,236.939
NSANT,25_Q4_23,419.9,0,-199.113,220.787
NSANT,30_Q1_0,498.997,0,-256.338,242.659
NSANT,30_Q1_1,493.21,0,-260.662,232.548
NSANT,30_Q1_2,490.844,0,-265.518,225.326
NSANT,30_Q1_3,485.957,0,-246.187,239.77
NSANT,30_Q1_4,482.66,0,-232.252,250.408
NSANT,30_Q1_5,480.224,0,-220.311,259.914
NSANT,30_Q1_6,502.497,0,-233.84,268.658
NSANT,30_Q1_7,563.301,0,-266.897,296.404
NSANT,30_Q1_8,615.282,0,-296.07,319.212
NSANT,30_Q1_9,646.626,0,-322.095,324.531
NSANT,30_Q1_10,670.667,0,-335.684,334.983
NSANT,30_Q1_11,677.079,0,-347.034,330.045
NSANT,30_Q1_12,677.194,0,-354.566,322.628
NSANT,30_Q1_13,668.276,0,-342.037,326.239
NSANT,30_Q1_14,649.69,0,-323.256,326.434
NSANT,30_Q1_15,617.291,0,-296.108,321.183
NSANT,30_Q1_16,574.92,0,-248.486,326.434
NSANT,30_Q1_17,514.472,0,-166.177,348.295
NSANT,30_Q1_18,498.43,0,-121.638,376.793
NSANT,30_Q1_19,500.603,0,-134.448,366.155
NSANT,30_Q1_20,498.855,0,-165.394,333.461
NSANT,30_Q1_21,499.431,0,-198.469,300.962
NSANT,30_Q1_22,495.81,0,-230.959,264.852
NSANT,30_Q1_23,489.655,0,-242.858,246.797
NSANT,30_Q2_0,485.73,0,-237.671,248.059
NSANT,30_Q2_1,486.953,0,-249.23,237.723
NSANT,30_Q2_2,484.418,0,-254.077,230.341
NSANT,30_Q2_3,483.958,0,-238.852,245.106
NSANT,30_Q2_4,481.7,0,-225.719,255.981
NSANT,30_Q2_5,480.611,0,-214.913,265.698
NSANT,30_Q2_6,500.487,0,-225.85,274.637
NSANT,30_Q2_7,565.532,0,-262.532,303.001
NSANT,30_Q2_8,623.858,0,-297.542,326.316
NSANT,30_Q2_9,658.418,0,-326.665,331.753
NSANT,30_Q2_10,669.684,0,-327.246,342.438
NSANT,30_Q2_11,673.269,0,-335.879,337.39
NSANT,30_Q2_12,669.015,0,-339.207,329.808
NSANT,30_Q2_13,658.071,0,-324.572,333.499
NSANT,30_Q2_14,640.866,0,-307.167,333.699
NSANT,30_Q2_15,607.983,0,-279.652,328.332
NSANT,30_Q2_16,556.797,0,-223.099,333.699
NSANT,30_Q2_17,500.788,0,-144.742,356.046
NSANT,30_Q2_18,480.377,0,-95.1984,385.178
NSANT,30_Q2_19,481.71,0,-107.406,374.304
NSANT,30_Q2_20,477.259,0,-136.376,340.882
NSANT,30_Q2_21,473.341,0,-165.681,307.66
NSANT,30_Q2_22,470.893,0,-200.146,270.746
NSANT,30_Q2_23,463.609,0,-211.32,252.29
NSANT,30_Q3_0,466.394,0,-219.204,247.191
NSANT,30_Q3_1,461.742,0,-224.851,236.891
NSANT,30_Q3_2,465.031,0,-235.497,229.534
NSANT,30_Q3_3,467.399,0,-223.152,244.248
NSANT,30_Q3_4,466.376,0,-211.292,255.084
NSANT,30_Q3_5,463.061,0,-198.293,264.768
NSANT,30_Q3_6,483.747,0,-210.072,273.675
NSANT,30_Q3_7,544.332,0,-242.393,301.94
NSANT,30_Q3_8,598.834,0,-273.66,325.173
NSANT,30_Q3_9,628.334,0,-297.743,330.592
NSANT,30_Q3_10,644.649,0,-303.41,341.239
NSANT,30_Q3_11,652.002,0,-315.793,336.209
NSANT,30_Q3_12,652.774,0,-324.121,328.653
NSANT,30_Q3_13,642.303,0,-309.972,332.331
NSANT,30_Q3_14,624.055,0,-291.525,332.53
NSANT,30_Q3_15,595.473,0,-268.291,327.182
NSANT,30_Q3_16,551.523,0,-218.993,332.53
NSANT,30_Q3_17,496.678,0,-141.879,354.799
NSANT,30_Q3_18,484.515,0,-100.685,383.83
NSANT,30_Q3_19,480.457,0,-107.465,372.993
NSANT,30_Q3_20,481.841,0,-142.153,339.688
NSANT,30_Q3_21,477.736,0,-171.153,306.582
NSANT,30_Q3_22,469.357,0,-199.559,269.798
NSANT,30_Q3_23,465.439,0,-214.033,251.406
NSANT,30_Q4_0,464.984,0,-223.544,241.44
NSANT,30_Q4_1,466.11,0,-234.73,231.38
NSANT,30_Q4_2,463.62,0,-239.426,224.194
NSANT,30_Q4_3,456.253,0,-217.688,238.566
NSANT,30_Q4_4,456.251,0,-207.101,249.15
NSANT,30_Q4_5,454.394,0,-195.786,258.608
NSANT,30_Q4_6,470.757,0,-203.448,267.308
NSANT,30_Q4_7,529.909,0,-234.994,294.915
NSANT,30_Q4_8,580.183,0,-262.575,317.608
NSANT,30_Q4_9,612.447,0,-289.547,322.901
NSANT,30_Q4_10,628.672,0,-295.372,333.301
NSANT,30_Q4_11,632.084,0,-303.697,328.387
NSANT,30_Q4_12,628.949,0,-307.942,321.007
NSANT,30_Q4_13,618.003,0,-293.403,324.6
NSANT,30_Q4_14,601.347,0,-276.553,324.794
NSANT,30_Q4_15,576.128,0,-256.558,319.57
NSANT,30_Q4_16,539.069,0,-214.275,324.794
NSANT,30_Q4_17,494.499,0,-147.954,346.545
NSANT,30_Q4_18,482.634,0,-107.734,374.9
NSANT,30_Q4_19,478.067,0,-113.752,364.316
NSANT,30_Q4_20,469.892,0,-138.106,331.786
NSANT,30_Q4_21,467.847,0,-168.397,299.45
NSANT,30_Q4_22,456.181,0,-192.659,263.522
NSANT,30_Q4_23,445.41,0,-199.852,245.557
NSANT,35_Q1_0,469.493,0,-206.779,262.714
NSANT,35_Q1_1,470.174,0,-218.406,251.768
NSANT,35_Q1_2,471.067,0,-227.118,243.949
NSANT,35_Q1_3,463.479,0,-203.892,259.587
NSANT,35_Q1_4,464.445,0,-193.341,271.104
NSANT,35_Q1_5,466.728,0,-185.333,281.395
NSANT,35_Q1_6,481.813,0,-190.951,290.862
NSANT,35_Q1_7,547.1,0,-226.199,320.902
NSANT,35_Q1_8,613.438,0,-267.844,345.594
NSANT,35_Q1_9,647.867,0,-296.514,351.353
NSANT,35_Q1_10,659.737,0,-297.067,362.669
NSANT,35_Q1_11,669.641,0,-312.318,357.323
NSANT,35_Q1_12,675.075,0,-325.783,349.293
NSANT,35_Q1_13,670.651,0,-317.449,353.202
NSANT,35_Q1_14,658.586,0,-305.172,353.413
NSANT,35_Q1_15,635.395,0,-287.666,347.729
NSANT,35_Q1_16,598.344,0,-244.931,353.413
NSANT,35_Q1_17,544.458,0,-167.377,377.081
NSANT,35_Q1_18,528.827,0,-120.892,407.934
NSANT,35_Q1_19,527.204,0,-130.787,396.417
NSANT,35_Q1_20,519.04,0,-158.018,361.021
NSANT,35_Q1_21,512.216,0,-186.38,325.836
NSANT,35_Q1_22,509.819,0,-223.077,286.742
NSANT,35_Q1_23,506.018,0,-238.824,267.195
NSANT,35_Q2_0,499.046,0,-228.275,270.771
NSANT,35_Q2_1,491.988,0,-232.498,259.489
NSANT,35_Q2_2,480.626,0,-229.196,251.431
NSANT,35_Q2_3,476.43,0,-208.883,267.548
NSANT,35_Q2_4,467.632,0,-188.213,279.418
NSANT,35_Q2_5,474.378,0,-184.353,290.025
NSANT,35_Q2_6,503.65,0,-203.867,299.783
NSANT,35_Q2_7,573.583,0,-242.84,330.743
NSANT,35_Q2_8,637.124,0,-280.931,356.193
NSANT,35_Q2_9,669.574,0,-307.445,362.129
NSANT,35_Q2_10,682.918,0,-309.126,373.792
NSANT,35_Q2_11,691.164,0,-322.883,368.281
NSANT,35_Q2_12,693.866,0,-333.861,360.005
NSANT,35_Q2_13,688.59,0,-324.556,364.034
NSANT,35_Q2_14,672.165,0,-307.913,364.252
NSANT,35_Q2_15,645.661,0,-287.268,358.393
NSANT,35_Q2_16,610.688,0,-246.436,364.252
NSANT,35_Q2_17,551.74,0,-163.094,388.646
NSANT,35_Q2_18,535.811,0,-115.366,420.445
NSANT,35_Q2_19,531.018,0,-122.444,408.575
NSANT,35_Q2_20,523.231,0,-151.138,372.093
NSANT,35_Q2_21,513.707,0,-177.877,335.829
NSANT,35_Q2_22,506.468,0,-210.933,295.536
NSANT,35_Q2_23,506.207,0,-230.818,275.389
NSANT,35_Q3_0,500.987,0,-230.828,270.159
NSANT,35_Q3_1,497.653,0,-238.75,258.903
NSANT,35_Q3_2,493.845,0,-242.983,250.862
NSANT,35_Q3_3,482.8,0,-215.857,266.943
NSANT,35_Q3_4,484.203,0,-205.416,278.787
NSANT,35_Q3_5,484.78,0,-195.41,289.37
NSANT,35_Q3_6,506.343,0,-207.238,299.105
