PRR_TIMEPOINTS_1,PRR_TIMEPOINTS_2,CapacityRequirements
system-planning,216,9966.962961329999
system-planning,217,9919.85951816
system-planning,218,9506.532038619996
system-planning,219,9211.298124055002
system-planning,220,9801.765952610001
system-planning,221,10236.645507629997
system-planning,222,10625.232386154998
system-planning,223,10982.701610524999
system-planning,224,12116.96078554
system-planning,225,13049.339008914998
system-planning,226,13266.778788035
system-planning,227,13694.070830964996
system-planning,228,13492.189880244998
system-planning,229,13188.984650865
system-planning,230,13336.601607284996
system-planning,231,13344.57292279
system-planning,232,13129.937867974999
system-planning,233,13344.57292279
system-planning,234,14238.245982909999
system-planning,235,15403.23900717
system-planning,236,14968.359452149998
system-planning,237,13631.835522769998
system-planning,238,12303.282907859999
system-planning,239,10827.113336644998
system-planning,240,10089.02855144
system-planning,241,9896.987419435
system-planning,242,9484.612943054999
system-planning,243,9190.05974684
system-planning,244,9779.166140995
system-planning,245,10213.04299986
system-planning,246,10600.733917984999
system-planning,247,10957.378928959999
system-planning,248,12089.022856085
system-planning,249,13019.2513081
system-planning,250,13236.18973736
system-planning,251,13662.496578855002
system-planning,252,13461.081102709997
system-planning,253,13158.574969139996
system-planning,254,13305.851567535
system-planning,255,13313.804503395
system-planning,256,13099.664331414997
system-planning,257,13313.804503395
system-planning,258,14205.417031579998
system-planning,259,15367.723948859997
system-planning,260,14933.847088155
system-planning,261,13600.404766279997
system-planning,262,12274.915378884998
system-planning,263,10802.149394244996
system-planning,264,10065.766400659999
system-planning,265,9749.393659549998
system-planning,266,9343.168923745
system-planning,267,9053.008397824999
system-planning,268,9633.329449089997
system-planning,269,10060.735903334999
system-planning,270,10442.645187374997
system-planning,271,10793.971551735
system-planning,272,11908.739274285
system-planning,273,12825.0952303
system-planning,274,13038.798456675
system-planning,275,13458.747786634998
system-planning,276,13260.336019639999
system-planning,277,12962.34116012
system-planning,278,13107.421422044998
system-planning,279,13115.255755414999
system-planning,280,12904.309053739997
system-planning,281,13115.255755414999
system-planning,282,13993.571666200001
system-planning,283,15138.545100495003
system-planning,284,14711.138646709998
system-planning,285,13397.581948195
system-planning,286,12091.859581669998
system-planning,287,10641.056953335
system-planning,288,9915.655640835
system-planning,289,10279.341521635
system-planning,290,9851.035624904998
system-planning,291,9545.102841624997
system-planning,292,10156.968408415
system-planning,293,10607.607397950002
system-planning,294,11010.276128364998
system-planning,295,11380.699541189999
system-planning,296,12556.062702180001
system-planning,297,13522.229025415003
system-planning,298,13747.548520239998
system-planning,299,14190.32503855
system-planning,300,13981.128199645002
system-planning,301,13666.935231669999
system-planning,302,13819.901622619996
system-planning,303,13828.161808579998
system-planning,304,13605.748674714998
system-planning,305,13828.161808579998
system-planning,306,14754.220343919998
system-planning,307,15961.431107074999
system-planning,308,15510.792116735
system-planning,309,14125.83440567
system-planning,310,12749.136882519999
system-planning,311,11219.472965084999
system-planning,312,10454.641005849999
system-planning,313,10500.451243545
system-planning,314,10062.93244071
system-planning,315,9750.419011855001
system-planning,316,10375.44587175
system-planning,317,10835.778154244997
system-planning,318,11247.108330344998
system-planning,319,11625.499591194997
system-planning,320,12826.144938225
system-planning,321,13813.093598699998
system-planning,322,14043.259740925
system-planning,323,14495.560428249999
system-planning,324,14281.86374526
system-planning,325,13960.912451649998
system-planning,326,14117.169167629996
system-planning,327,14125.60702859
system-planning,328,13898.409767304998
system-planning,329,14125.60702859
system-planning,330,15071.585181289998
system-planning,331,16304.763175709997
system-planning,332,15844.430894594998
system-planning,333,14429.682597175002
system-planning,334,13023.372163359996
system-planning,335,11460.805013105
system-planning,336,10679.521439184999
system-planning,337,10472.305454234998
system-planning,338,10035.959392994999
system-planning,339,9724.283634949998
system-planning,340,10347.635150695
system-planning,341,10806.733541149999
system-planning,342,11216.961174415
system-planning,343,11594.338180804998
system-planning,344,12791.765273304996
system-planning,345,13776.06848321
system-planning,346,14005.617679299998
system-planning,347,14456.706003274998
system-planning,348,14243.582120564999
system-planning,349,13923.491117345002
system-planning,350,14079.32899562
system-planning,351,14087.744242404997
system-planning,352,13861.155965115002
system-planning,353,14087.744242404997
system-planning,354,15031.186759299999
system-planning,355,16261.05929837
system-planning,356,15801.960907799996
system-planning,357,14391.004754584997
system-planning,358,12988.463843899997
system-planning,359,11430.08505701
system-planning,360,10650.895663334999
system-planning,361,10274.09523578
system-planning,362,9846.007934039999
system-planning,363,9540.231290055
system-planning,364,10151.78457791
system-planning,365,10602.19357423
system-planning,366,11004.65679378
system-planning,367,11374.89115316
system-planning,368,12549.654441719998
system-planning,369,13515.32766163
system-planning,370,13740.532160249999
system-planning,371,14183.082695394998
system-planning,372,13973.992626629999
system-planning,373,13659.960012239999
system-planning,374,13812.848336474997
system-planning,375,13821.104305844998
system-planning,376,13598.804685145
system-planning,377,13821.104305844998
system-planning,378,14746.690205674999
system-planning,379,15953.284843219997
system-planning,380,15502.875845864999
system-planning,381,14118.624979079998
system-planning,382,12742.630081664998
system-planning,383,11213.746862429998
system-planning,384,10449.305252524999
system-planning,385,10619.458187279999
system-planning,386,10176.980762924999
system-planning,387,9860.925458615
system-planning,388,10493.036065395
system-planning,389,10958.585527244999
system-planning,390,11374.577517799999
system-planning,391,11757.25727884
system-planning,392,12971.51014784
system-planning,393,13969.644400959998
system-planning,394,14202.419132575
system-planning,395,14659.845972154999
system-planning,396,14443.727355815
system-planning,397,14119.138559189996
system-planning,398,14277.166209274998
system-planning,399,14285.699703659999
system-planning,400,14055.927496925002
system-planning,401,14285.699703659999
system-planning,402,15242.39910603
system-planning,403,16489.55333312
system-planning,404,16024.003871614997
system-planning,405,14593.221514045003
system-planning,406,13170.97265017
system-planning,407,11590.69613414
system-planning,408,10800.557875320002
system-planning,409,11036.968179214997
system-planning,410,10577.094504874998
system-planning,411,10248.61330946
system-planning,412,10905.575701324999
system-planning,413,11389.42850257
system-planning,414,11821.775452265001
system-planning,415,12219.500484595
system-planning,416,13481.492389229998
system-planning,417,14518.868853995
system-planning,418,14760.795254905
system-planning,419,15236.206089574998
system-planning,420,15011.590648209996
system-planning,421,14674.240459595
system-planning,422,14838.481057590001
system-planning,423,14847.350049984998
system-planning,424,14608.54422042
system-planning,425,14847.350049984998
system-planning,426,15841.662630005
system-planning,427,17137.849427335
system-planning,428,16653.996626895
system-planning,429,15166.962253809996
system-planning,430,13688.796873464997
system-planning,431,12046.390893285
system-planning,432,11225.18790446
system-planning,433,11013.780737609999
system-planning,434,10554.873205755
system-planning,435,10227.082113379998
system-planning,436,10882.66430043
system-planning,437,11365.500579644999
system-planning,438,11796.939217825002
system-planning,439,12193.828673725
system-planning,440,13453.169274864997
system-planning,441,14488.366327480002
system-planning,442,14729.784468065001
system-planning,443,15204.196517269998
system-planning,444,14980.052966905
system-planning,445,14643.41151524
system-planning,446,14807.307061829999
system-planning,447,14816.157421234995
system-planning,448,14577.853296075002
system-planning,449,14816.157421234995
system-planning,450,15808.381059489999
system-planning,451,17101.844713744995
system-planning,452,16619.008434415002
system-planning,453,15135.098154434998
system-planning,454,13660.03823478
system-planning,455,12021.082766694999
system-planning,456,11201.605033975002
system-planning,457,10738.285695825
system-planning,458,10290.857125524999
system-planning,459,9971.265289925
system-planning,460,10610.448961355
system-planning,461,11081.20773656
system-planning,462,11501.854511045001
system-planning,463,11888.816306285
system-planning,464,13116.656181254997
system-planning,465,14125.959160429999
system-planning,466,14361.338547054998
system-planning,467,14823.88381181
system-planning,468,14605.346914404998
system-planning,469,14277.126098195
system-planning,470,14436.922017145
system-planning,471,14445.550995684998
system-planning,472,14213.207731189998
system-planning,473,14445.550995684998
system-planning,474,15412.955483554997
system-planning,475,16674.06487037
system-planning,476,16203.306094589998
system-planning,477,14756.513852399996
system-planning,478,13318.350590130001
system-planning,479,11720.391408450001
system-planning,480,10921.411817495
system-planning,481,10879.281486765
system-planning,482,10425.978091669998
system-planning,483,10102.189952069997
system-planning,484,10749.766229660001
system-planning,485,11226.70616022
system-planning,486,11652.876110085
system-planning,487,12044.91878852
system-planning,488,13288.880442074998
system-planning,489,14311.435765605002
system-planning,490,14549.905729964998
system-planning,491,15018.524303764998
system-planning,492,14797.117975234994
system-planning,493,14464.58755599
system-planning,494,14626.481625100001
system-planning,495,14635.223903824997
system-planning,496,14399.829927149996
system-planning,497,14635.223903824997
system-planning,498,15615.330602500002
system-planning,499,16892.99860046
system-planning,500,16416.058670819995
system-planning,501,14950.269765620002
system-planning,502,13493.22313535
system-planning,503,11874.282438960001
system-planning,504,11064.812090534999
system-planning,505,11541.443025179999
system-planning,506,11060.549565509999
system-planning,507,10717.054238159999
system-planning,508,11404.044892974998
system-planning,509,11910.013512005
system-planning,510,12362.122064229998
system-planning,511,12778.026206055001
system-planning,512,14097.700908134997
system-planning,513,15182.493504635
system-planning,514,15435.477812424999
system-planning,515,15932.618600894997
system-planning,516,15697.736495544998
system-planning,517,15344.966793094998
system-planning,518,15516.714457574999
system-planning,519,15525.988831294997
system-planning,520,15276.267728775
system-planning,521,15525.988831294997
system-planning,522,16565.74918994
system-planning,523,17921.181754315
system-planning,524,17415.213134594997
system-planning,525,15860.209786419999
system-planning,526,14314.480809319999
system-planning,527,12597.00416912
system-planning,528,11738.26584833
system-planning,529,11529.631360689998
system-planning,530,11049.230054674998
system-planning,531,10706.086263809999
system-planning,532,11392.37384554
system-planning,533,11897.824649125001
system-planning,534,12349.470505289999
system-planning,535,12764.949008885002
system-planning,536,14083.273135095
system-planning,537,15166.955541029996
system-planning,538,15419.680942879999
system-planning,539,15916.312951339998
system-planning,540,15681.671226809998
system-planning,541,15329.262554095
system-planning,542,15500.834448549998
system-planning,543,15510.09933247
system-planning,544,15260.633796290002
system-planning,545,15510.09933247
system-planning,546,16548.795585305
system-planning,547,17902.840982994996
system-planning,548,17397.390180099996
system-planning,549,15843.978238955
system-planning,550,14299.831183914997
system-planning,551,12584.11223005
system-planning,552,11726.252753634999
system-planning,553,11159.481028704999
