PRR_TIMEPOINTS_1,PRR_TIMEPOINTS_2,AvailableReserveCapacity
system-planning,211,19677.949999999997
system-planning,212,19677.949999999997
system-planning,213,19677.949999999997
system-planning,214,19677.949999999997
system-planning,215,19677.949999999997
system-planning,216,19677.949999999997
system-planning,217,19677.949999999997
system-planning,218,19677.949999999997
system-planning,219,19677.949999999997
system-planning,220,19677.949999999997
system-planning,221,19677.949999999997
system-planning,222,19677.949999999997
system-planning,223,19677.949999999997
system-planning,224,19677.949999999997
system-planning,225,19677.949999999997
system-planning,226,19677.949999999997
system-planning,227,19677.949999999997
system-planning,228,19677.949999999997
system-planning,229,19677.949999999997
system-planning,230,19677.949999999997
system-planning,231,19677.949999999997
system-planning,232,19677.949999999997
system-planning,233,19677.949999999997
system-planning,234,19677.949999999997
system-planning,235,19677.949999999997
system-planning,236,19677.949999999997
system-planning,237,19677.949999999997
system-planning,238,19677.949999999997
system-planning,239,19677.949999999997
system-planning,240,19677.949999999997
system-planning,241,19677.949999999997
system-planning,242,19677.949999999997
system-planning,243,19677.949999999997
system-planning,244,19677.949999999997
system-planning,245,19677.949999999997
system-planning,246,19677.949999999997
system-planning,247,19677.949999999997
system-planning,248,19677.949999999997
system-planning,249,19677.949999999997
system-planning,250,19677.949999999997
system-planning,251,19677.949999999997
system-planning,252,19677.949999999997
system-planning,253,19677.949999999997
system-planning,254,19677.949999999997
system-planning,255,19677.949999999997
system-planning,256,19677.949999999997
system-planning,257,19677.949999999997
system-planning,258,19677.949999999997
system-planning,259,19677.949999999997
system-planning,260,19677.949999999997
system-planning,261,19677.949999999997
system-planning,262,19677.949999999997
system-planning,263,19677.949999999997
system-planning,264,19677.949999999997
system-planning,265,19677.949999999997
system-planning,266,19677.949999999997
system-planning,267,19677.949999999997
system-planning,268,19677.949999999997
system-planning,269,19677.949999999997
system-planning,270,19677.949999999997
system-planning,271,19677.949999999997
system-planning,272,19677.949999999997
system-planning,273,19677.949999999997
system-planning,274,19677.949999999997
system-planning,275,19677.949999999997
system-planning,276,19677.949999999997
system-planning,277,19677.949999999997
system-planning,278,19677.949999999997
system-planning,279,19677.949999999997
system-planning,280,19677.949999999997
system-planning,281,19677.949999999997
system-planning,282,19677.949999999997
system-planning,283,19677.949999999997
system-planning,284,19677.949999999997
system-planning,285,19677.949999999997
system-planning,286,19677.949999999997
system-planning,287,19677.949999999997
system-planning,288,19677.949999999997
system-planning,289,19747.949999999997
system-planning,290,19747.949999999997
system-planning,291,19747.949999999997
system-planning,292,19747.949999999997
system-planning,293,19747.949999999997
system-planning,294,19747.949999999997
system-planning,295,19747.949999999997
system-planning,296,19747.949999999997
