PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,2418758028.5719395,713022961.171292,1.816624230071727,392498872.0111584
2025,1777550206.7625084,668774126.9664131,1.5691595064472947,426198945.49826384
2030,1225887691.9985397,588646772.2478794,1.2878964211943982,457060647.5495654
2035,1110952007.7332354,680841274.1059284,1.4024472848838407,485466570.78973186
2040,864614306.3376486,676269016.0915426,1.3198930371686883,512366530.5047839
2045,925964815.5040326,924353421.5516042,1.7179181187027432,538066053.025632
