PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,146174594.75509435,43090644.524631105,0.10978539709894014,392498872.0111584
2025,121457425.64448155,45696365.41907741,0.1072183915557425,426198945.49826384
2030,46003911.34345209,22090158.9108482,0.04833091413421818,457060647.5495654
2035,75868384.95052424,46495552.92624066,0.09577498374523316,485466570.78973186
2040,29009300.969215088,22689991.68780036,0.0442846874979249,512366530.5047839
2045,109837470.90650633,109646328.1833647,0.20377856504197905,538066053.025632
