timestamp,AGUAFRESCA,ALEJANDRIA,ALTOANCHICAY,AMAIME,AMOYA,AUT_ARGOCGNA,AUT_ARGOYUMB,AUT_REFICAR,AUT_UNIBOL,AUT_YAGUARIT,BAJOANCHICAY,BARRANQUILLA3,BARRANQUILLA3_FO6,BARRANQUILLA4,BARRANQUILLA4_FO6,BARROSO,BETANIA,BIOG-TEQUENDAMA,BIOG_DJUANA,CALDERAS,CALIMA,CANA,CANDELARIA1,CANDELARIA1_FO2,CANDELARIA2,CANDELARIA2_FO2,CARTAGENA1,CARTAGENA1_FO6,CARTAGENA2,CARTAGENA2_FO6,CARTAGENA3,CARTAGENA3_FO6,CARUQUIA,CC_FLORES4,CC_FLORES4_FO2,CHIVOR,CIMARRON,COG_COLTEJER,COG_INCAUCA,COG_MANUELIT,COG_MAYAGUEZ,COG_PROENCA,COG_PROVIDEN,COG_RISARALD,CUCUANA,C_LLERAS_R,DARIO_VALENC,ELMORRO1,ELMORRO2,ELPOPAL,EL_QUIMBO,EMCALI,EMCALI_FO2,ESMERALDA,EXP_HID_1,FLORES1,FLORES1_FO2,GUADALUPE_3,GUADALUPE_4,GUAJIRA1,GUAJIRA1_CARBON,GUAJIRA2,GUAJIRA2_CARBON,GUANAQUITAS,GUATAPE,GUAVIO,HD-ANT-CHO,HD-ATLANTICO,HD-BOG-CUN,HD-BOLIVAR,HD-BOY-CAS,HD-CAUCA,HD-COR-SUC,HD-CQR,HD-GCM,HD-HTC,HD-MET-GUAV,HD-NAR-PUT,HD-NSANT,HD-SANT-ARA,HD-VALLE,INSULA,JAGUAS,LAGUN-LIMON,LA_GUACA,LA_TASAJERA,MEN_ANTIOQUIA,MEN_CAUCANAR,MEN_CHARQUITO,MEN_CQR,MEN_EMGESA,MEN_EPM,MEN_EPM_HERR,MEN_EPM_JEPI,MEN_EPM_VUEL,MEN_EPSA,MEN_HUILA,MEN_Magallo,MEN_NARPUT,MEN_NORDESTE,MEN_Naveta,MEN_TEQUEN,MEN_TOLIMA,MERILECTRICA,MIEL_I,MIEL_II,MONTANITAS,MORRO_AZUL,PAIPA1,PAIPA2,PAIPA3,PAIPA4,PAJARITO,PARAISO,PESCADERO,PLAYAS,PORCE_II,PORCE_III,PRADO,PRADO4,PROELECTRIC1,PROELECTRIC1_FO2,PROELECTRIC2,PROELECTRIC2_FO2,PROVIDENCIA,PV-ANT-CHO,PV-ATLANTICO,PV-BOG-CUN,PV-BOLIVAR,PV-BOY-CAS,PV-CAUCA,PV-COR-SUC,PV-CQR,PV-GCM,PV-HTC,PV-MET-GUAV,PV-NAR-PUT,PV-NSANT,PV-SANT-ARA,PV-VALLE,Purificacion,RIOGRANDE_1,SALTO_II,SALVAJINA,SAN_CARLOS,SAN_FRANCISCO,SNMIGUEL,SOGAMOSO,TASAJERO1,TASAJERO2,TC_GECELCA3,TC_GECELCA32,TEBSAB,TEBSAB_FO2,TERMOBOLIVAR,TERMOCENTRO,TERMOCENTRO_JA1,TERMODORADA1,TERMODORADA1_FO2,TERMONORTE,TERMOSIERRA,TERMOSIERRA_FO2,TERMOVALLE2,TERMOVALLE2_CPM2,TERMO_YOPAL1,TERMO_YOPAL2,TPIEDRAS,TRONERAS,TULUA_ALTO,TULUA_BAJO,TUNJITA,TermoCaribe1,TermoCaribe2,TermoSolo1,TermoSolo2,URRA,WN-ANT-CHO,WN-ATLANTICO,WN-BOG-CUN,WN-BOLIVAR,WN-BOY-CAS,WN-CAUCA,WN-COR-SUC,WN-CQR,WN-GCM,WN-HTC,WN-MET-GUAV,WN-NAR-PUT,WN-NSANT,WN-SANT-ARA,WN-VALLE,ZIPAEMG2,ZIPAEMG3,ZIPAEMG4,ZIPAEMG5,jaguey,pwcon3,rubiales
35_Q2_13,5.40849,11.1286,100,14.2223,23,0,0,0,0,0,21,0,0,0,0,14.7639,152,0,0,6,37,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,281,0,0,0,0,0,0,0,0,51,22,42,0,0,14.7639,111,0,0,8,299.004,0,0,76,57,0,0,0,0,7.0481,553.672,488.357,86.8,0,0,0,0,0,0,0,0,86.8,0,0,43.4,0,86.8,9.55143,48,5,274.214,86,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,111,33,14.7639,14.7639,0,0,0,0,3.038,272.412,84,58,114,197,44.5648,3.1,0,0,0,0,3.63533,336.225,336.225,0,336.225,160.107,240.16,336.225,160.107,336.225,240.16,80.0535,160.107,160.107,320.214,336.225,0,9.55143,10,80,349,38,12,696.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14.7639,14.7639,13,0,0,0,0,95,189.345,189.345,189.345,189.345,189.345,189.345,189.345,189.345,189.345,189.345,189.345,189.345,189.345,189.345,189.345,0,0,0,0,0,0,0
35_Q2_14,5.40849,11.1286,100,14.2223,23,0,0,0,0,0,21,0,0,0,0,14.7639,216.856,0,0,18.5253,40.2653,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,281,0,0,0,0,0,0,0,0,51,61.4667,42,0,0,14.7639,336.6,0,0,8,299.004,0,0,199.27,57,0,0,0,0,7.0481,553.672,352,86.8,0,0,0,0,0,0,0,0,86.8,0,0,43.4,0,86.8,5,48,5,320.857,86,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,111,33,14.7639,14.7639,0,0,0,0,3.038,272.412,84,120.096,114,197,44.5648,3.1,0,0,0,0,3.63533,297.768,297.768,0,297.768,141.794,212.692,297.768,141.794,297.768,212.692,70.8972,141.794,141.794,283.589,297.768,0,5,10,180.661,349,103.937,18.6817,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.552,14.7639,14.7639,13,0,0,0,0,310.697,191.232,191.232,191.232,191.232,191.232,191.232,191.232,191.232,191.232,191.232,191.232,191.232,191.232,191.232,191.232,0,0,0,0,0,0,0
35_Q2_15,5.40849,11.1286,293.408,14.2223,23,0,0,0,0,0,21,0,0,0,0,14.7639,527.364,0,0,19.4343,40.2653,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,281,0,0,0,0,0,0,0,0,39,61.4667,142.02,0,0,14.7639,336.6,0,0,8,299.004,0,0,76,77.768,0,0,0,0,7.0481,158,488.357,86.8,0,0,0,0,0,0,0,0,86.8,0,0,43.4,0,86.8,9.55143,48,5,320.857,86,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,111,33,14.7639,14.7639,0,0,0,0,2.126,272.412,84,120.096,114,197,13,3.1,0,0,0,0,3.63533,231.746,231.746,0,231.746,110.355,165.533,231.746,110.355,231.746,165.533,55.1776,110.355,110.355,220.71,231.746,0,9.55143,29.75,80,349,103.937,12,696.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.552,14.7639,14.7639,6,0,0,0,0,157.122,196.167,196.167,196.167,196.167,196.167,196.167,196.167,196.167,196.167,196.167,196.167,196.167,196.167,196.167,196.167,0,0,0,0,0,0,0
35_Q2_16,5.40849,11.1286,293.408,14.2223,23,0,0,0,0,0,72.668,0,0,0,0,14.7639,527.364,0,0,19.4343,40.2653,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,602.652,0,0,0,0,0,0,0,0,39,61.4667,142.02,0,0,14.7639,336.6,0,0,29.346,99,0,0,199.27,77.768,0,0,0,0,7.0481,158,488.357,86.8,0,0,0,0,0,0,0,0,86.8,0,0,43.4,0,86.8,9.55143,48,5,91,86,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,111,33,14.7639,14.7639,0,0,0,0,3.038,272.412,84,204.909,114,197,13,3.1,0,0,0,0,3.63533,136.88,136.88,0,136.88,65.1812,97.7718,136.88,65.1812,136.88,97.7718,32.5906,65.1812,65.1812,130.362,136.88,0,9.55143,10,80,1237.89,103.937,12,696.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14.7639,14.7639,6,0,0,0,0,183.208,206.368,206.368,206.368,206.368,206.368,206.368,206.368,206.368,206.368,206.368,206.368,206.368,206.368,206.368,206.368,0,0,0,0,0,0,0
35_Q2_17,5.40849,11.1286,293.408,14.2223,79.064,0,0,0,0,0,72.668,0,0,0,0,14.7639,527.364,0,0,19.4343,40.2653,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,990.7,0,0,0,0,4.68065,4.68065,0,0,51,70.2,142.02,0,0,14.7639,336.6,0,0,19.943,99,0,0,199.27,57,0,0,0,0,7.0481,553.672,1243.88,86.8,0,0,0,0,0,0,0,0,86.8,0,0,43.4,0,86.8,9.55143,48,17.28,91,305.143,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,388.634,33,14.7639,14.7639,0,0,0,0,3.038,272.412,255,199.13,114,197,44.5648,3.1,0,0,0,0,3.63533,22.4552,22.4552,0,22.4552,10.693,16.0395,22.4552,10.693,22.4552,16.0395,5.34649,10.693,10.693,21.3859,22.4552,0,9.55143,29.75,245.784,1237.89,103.937,39.6,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.552,14.7639,14.7639,13,0,0,0,0,183.208,201.908,201.908,201.908,201.908,201.908,201.908,201.908,201.908,201.908,201.908,201.908,201.908,201.908,201.908,201.908,0,0,0,0,0,0,0
35_Q2_18,5.40849,11.1286,293.408,14.2223,79.064,0,0,0,0,0,21,0,0,0,0,14.7639,527.364,0,0,19.4343,40.2653,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,990.7,0,0,0,0,0,0,0,0,51,70.2,142.02,0,0,14.7639,336.6,0,0,19.943,99,0,0,265.275,182.446,0,0,0,0,7.0481,553.672,1243.88,86.8,0,0,0,0,0,0,0,0,86.8,0,0,43.4,0,86.8,11.78,168.98,17.28,320.857,305.143,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,123.983,114.824,14.7639,14.7639,0,0,0,0,3.038,272.412,255,204.909,283.04,678.51,13,3.1,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,10,245.784,1237.89,103.937,39.6,696.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.552,14.7639,14.7639,13,0,0,0,0,183.208,196.673,196.673,196.673,196.673,196.673,196.673,196.673,196.673,196.673,196.673,196.673,196.673,196.673,196.673,196.673,0,0,0,0,0,0,0
35_Q2_19,5.40849,11.1286,205.71,14.2223,23,0,0,0,0,0,72.668,0,0,0,0,14.7639,527.364,0,0,6,121.546,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,990.7,0,0,0,0,4.68065,4.68065,0,0,51,22,142.02,0,0,14.7639,336.6,0,0,29.346,299.004,0,0,265.275,182.446,0,0,0,0,7.0481,553.672,1243.88,86.8,0,0,0,0,0,0,0,0,86.8,0,0,43.4,0,86.8,11.78,104.359,5,91,86,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,342.06,114.824,14.7639,14.7639,0,0,0,0,3.038,272.412,255,204.909,283.04,678.51,13,3.1,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,29.75,245.784,1237.89,38,12,696.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.552,14.7639,14.7639,13,0,0,0,0,95,191.88,191.88,191.88,191.88,191.88,191.88,191.88,191.88,191.88,191.88,191.88,191.88,191.88,191.88,191.88,0,0,0,0,0,0,0
35_Q2_20,5.40849,11.1286,100,14.2223,79.064,0,0,0,0,0,72.668,0,0,0,0,14.7639,527.364,0,0,19.4343,121.546,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,335.127,0,0,0,0,0,0,0,0,17,70.2,42,0,0,14.7639,336.6,0,0,29.346,299.004,0,0,265.275,182.446,0,0,0,0,7.0481,553.672,1243.88,86.8,0,0,0,0,0,0,0,0,86.8,0,0,43.4,0,86.8,11.78,168.98,17.28,91,86,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,342.06,114.824,14.7639,14.7639,0,0,0,0,3.038,78,255,156.612,403.501,678.51,13,3.1,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,29.75,245.784,852.637,41.4128,39.6,696.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.552,14.7639,14.7639,13,0,0,0,0,183.208,184.093,184.093,184.093,184.093,184.093,184.093,184.093,184.093,184.093,184.093,184.093,184.093,184.093,184.093,184.093,0,0,0,0,0,0,0
35_Q2_21,5.40849,11.1286,205.71,14.2223,79.064,0,0,0,0,0,21,0,0,0,0,14.7639,152,0,0,19.4343,37,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,335.127,0,0,0,0,0,0,0,0,17,22,42,0,0,14.7639,336.6,0,0,29.346,299.004,0,0,76,182.446,0,0,0,0,7.0481,553.672,1243.88,86.8,0,0,0,0,0,0,0,0,86.8,0,0,43.4,0,86.8,11.78,168.98,17.28,91,292.798,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,111,114.824,14.7639,14.7639,0,0,0,0,3.038,272.412,255,156.612,403.501,678.51,13,3.1,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,29.75,245.784,349,41.4128,39.6,696.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.552,14.7639,14.7639,13,0,0,0,0,95,174.568,174.568,174.568,174.568,174.568,174.568,174.568,174.568,174.568,174.568,174.568,174.568,174.568,174.568,174.568,0,0,0,0,0,0,0
35_Q2_22,5.40849,11.1286,100,14.2223,79.064,0,0,0,0,0,21,0,0,0,0,14.7639,152,0,0,6,37,18.2657,0,0,0,0,0,0,0,0,0,0,7.0481,0,0,335.127,0,0,0,0,0,0,0,0,17,70.2,42,0,0,14.7639,336.6,0,0,29.346,299.004,0,0,265.275,182.446,0,0,0,0,7.0481,158,1243.88,86.8,0,0,0,0,0,0,0,0,86.8,0,0,43.4,0,86.8,11.78,168.98,9.74,91,86,23.5777,27.9698,14.393,13.9849,41.3909,58.2692,14.8381,11.597,8.6061,17.3383,8.26482,4.22886,17.6573,14.0962,3.56114,14.393,9.05124,0,111,114.824,14.7639,14.7639,0,0,0,0,3.038,272.412,84,58,403.501,678.51,13,3.1,0,0,0,0,3.63533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,29.75,245.784,361.689,38,24.2191,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.552,14.7639,14.7639,13,0,0,0,0,95,167.33,167.33,167.33,167.33,167.33,167.33,167.33,167.33,167.33,167.33,167.33,167.33,167.33,167.33,167.33,0,0,0,0,0,0,0
