ANT-CHO,termosierra_gas,2020,8.1336
ANT-CHO,termosierra_gas,2025,10.8733224
ANT-CHO,termosierra_gas,2030,12.25739683
ANT-CHO,termosierra_gas,2035,13.45739683
ANT-CHO,termosierra_gas,2040,14.65739683
ANT-CHO,termosierra_gas,2045,15.85739683
ANT-CHO,termosierra_fo2,2020,18.65984784
ANT-CHO,termosierra_fo2,2025,18.21434138
ANT-CHO,termosierra_fo2,2030,19.23146696
ANT-CHO,termosierra_fo2,2035,20.13146696
ANT-CHO,termosierra_fo2,2040,21.03146696
ANT-CHO,termosierra_fo2,2045,21.93146696
ANT-CHO,NONE,2020,0
ANT-CHO,NONE,2025,0
ANT-CHO,NONE,2030,0
ANT-CHO,NONE,2035,0
ANT-CHO,NONE,2040,0
ANT-CHO,NONE,2045,0
ATLANTICO,barranquilla_gas,2020,5.912366753
ATLANTICO,barranquilla_gas,2025,8.368309657
ATLANTICO,barranquilla_gas,2030,9.572650992
ATLANTICO,barranquilla_gas,2035,10.47265099
ATLANTICO,barranquilla_gas,2040,11.37265099
ATLANTICO,barranquilla_gas,2045,12.27265099
ATLANTICO,barranquilla_fo6,2020,15.10968936
ATLANTICO,barranquilla_fo6,2025,15.3111471
ATLANTICO,barranquilla_fo6,2030,17.51717619
ATLANTICO,barranquilla_fo6,2035,18.41717619
ATLANTICO,barranquilla_fo6,2040,19.31717619
ATLANTICO,barranquilla_fo6,2045,20.21717619
ATLANTICO,flores_gas,2020,5.921676822
ATLANTICO,flores_gas,2025,8.368219862
ATLANTICO,flores_gas,2030,9.572591134
ATLANTICO,flores_gas,2035,10.47259113
ATLANTICO,flores_gas,2040,11.37259113
ATLANTICO,flores_gas,2045,12.27259113
ATLANTICO,flores_fo2,2020,18.17073789
ATLANTICO,flores_fo2,2025,17.72521917
ATLANTICO,flores_fo2,2030,18.74197181
ATLANTICO,flores_fo2,2035,19.64197181
ATLANTICO,flores_fo2,2040,20.54197181
ATLANTICO,flores_fo2,2045,21.44197181
ATLANTICO,NONE,2020,0
ATLANTICO,NONE,2025,0
ATLANTICO,NONE,2030,0
ATLANTICO,NONE,2035,0
ATLANTICO,NONE,2040,0
ATLANTICO,NONE,2045,0
BOG-CUN,zipa_car,2020,1.613208586
BOG-CUN,zipa_car,2025,1.79326639
BOG-CUN,zipa_car,2030,1.895971806
BOG-CUN,zipa_car,2035,1.905971806
BOG-CUN,zipa_car,2040,1.915971806
BOG-CUN,zipa_car,2045,1.925971806
BOG-CUN,NONE,2020,0
BOG-CUN,NONE,2025,0
BOG-CUN,NONE,2030,0
BOG-CUN,NONE,2035,0
BOG-CUN,NONE,2040,0
BOG-CUN,NONE,2045,0
BOLIVAR,cartagena_gas,2020,26.53949153
BOLIVAR,cartagena_gas,2025,8.094590164
BOLIVAR,cartagena_gas,2030,9.298571429
BOLIVAR,cartagena_gas,2035,10.39857143
BOLIVAR,cartagena_gas,2040,11.49857143
BOLIVAR,cartagena_gas,2045,12.59857143
BOLIVAR,cartagena_fo6,2020,9.797833611
BOLIVAR,cartagena_fo6,2025,15.22831774
BOLIVAR,cartagena_fo6,2030,17.43503647
BOLIVAR,cartagena_fo6,2035,19.33503647
BOLIVAR,cartagena_fo6,2040,21.23503647
BOLIVAR,cartagena_fo6,2045,23.13503647
BOLIVAR,barranquilla_gas,2020,5.912366753
BOLIVAR,barranquilla_gas,2025,8.368309657
BOLIVAR,barranquilla_gas,2030,9.572650992
BOLIVAR,barranquilla_gas,2035,10.47265099
BOLIVAR,barranquilla_gas,2040,11.37265099
BOLIVAR,barranquilla_gas,2045,12.27265099
BOLIVAR,flores_fo2,2020,18.17073789
BOLIVAR,flores_fo2,2025,17.72521917
BOLIVAR,flores_fo2,2030,18.74197181
BOLIVAR,flores_fo2,2035,19.24197181
BOLIVAR,flores_fo2,2040,19.74197181
BOLIVAR,flores_fo2,2045,20.24197181
BOLIVAR,candelaria_fo2,2020,18.07929461
BOLIVAR,candelaria_fo2,2025,17.63360577
BOLIVAR,candelaria_fo2,2030,18.65126712
BOLIVAR,candelaria_fo2,2035,19.35126712
BOLIVAR,candelaria_fo2,2040,20.05126712
BOLIVAR,candelaria_fo2,2045,20.75126712
BOLIVAR,NONE,2020,0
BOLIVAR,NONE,2025,0
BOLIVAR,NONE,2030,0
BOLIVAR,NONE,2035,0
BOLIVAR,NONE,2040,0
BOLIVAR,NONE,2045,0
BOY-CAS,paipa_car,2020,1.31
BOY-CAS,paipa_car,2025,1.453770492
BOY-CAS,paipa_car,2030,1.533333333
BOY-CAS,paipa_car,2035,1.643333333
BOY-CAS,paipa_car,2040,1.753333333
BOY-CAS,paipa_car,2045,1.863333333
BOY-CAS,termoyopal_gas,2020,3.979525424
BOY-CAS,termoyopal_gas,2025,6.391016393
BOY-CAS,termoyopal_gas,2030,8.351095238
BOY-CAS,termoyopal_gas,2035,10.15109524
BOY-CAS,termoyopal_gas,2040,11.95109524
BOY-CAS,termoyopal_gas,2045,13.75109524
BOY-CAS,barranquilla_gas,2020,5.912366753
BOY-CAS,barranquilla_gas,2025,8.368309657
BOY-CAS,barranquilla_gas,2030,9.572650992
BOY-CAS,barranquilla_gas,2035,10.47265099
BOY-CAS,barranquilla_gas,2040,11.37265099
BOY-CAS,barranquilla_gas,2045,12.27265099
CAUCA,NONE,2020,0
CAUCA,NONE,2025,0
CAUCA,NONE,2030,0
CAUCA,NONE,2035,0
CAUCA,NONE,2040,0
CAUCA,NONE,2045,0
COR-SUC,gecelca_car,2020,3.172881356
COR-SUC,gecelca_car,2025,3.579016393
